species_slug,BL,WL,under_sampled,red_list,cert_list,lists
pulmonaria-mollis,0,0,0,2,0,['red_list']
pulmonaria-montana,0,0,0,3,0,['red_list']
pulmonaria-obscura,0,0,0,1,1,['red_list' 'cert_list']
pulmonaria-officinalis,0,0,0,2,0,['red_list']
pulsatilla-alpina,0,0,0,4,2,['red_list' 'cert_list']
pulsatilla-halleri,0,0,0,1,0,['red_list']
pulsatilla-montana,0,0,0,1,0,['red_list']
pulsatilla-vernalis,0,0,0,1,1,['red_list' 'cert_list']
pulsatilla-vulgaris,0,0,0,1,0,['red_list']
pyrola-chlorantha,0,0,0,1,0,['red_list']
pyrola-media,0,0,1,1,0,['under_sampled' 'red_list']
pyrola-minor,0,0,0,1,0,['red_list']
pyrola-rotundifolia,0,0,0,1,0,['red_list']
pyrus-nivalis,0,0,1,1,0,['under_sampled' 'red_list']
pyrus-pyraster,0,0,0,1,1,['red_list' 'cert_list']
quercus-cerris,0,0,0,1,0,['red_list']
quercus-petraea,0,0,0,1,1,['red_list' 'cert_list']
quercus-pubescens,0,0,0,1,1,['red_list' 'cert_list']
